Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,36,102148,102148,Athenaeum Library and Theatre,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),1885.0,1991.0,4.0,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9673,-37.8149,POINT (144.9672767 -37.81485244)
2019,65,105698,105698,Emporium Melbourne,269-321 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2014.0,,6.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,30.0,True,144.9639,-37.8125,POINT (144.9639296 -37.81247167)
2019,35,558609,558609,,254 Collins Street MELBOURNE 3000,Melbourne (CBD),1927.0,1999.0,2.0,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.9653,-37.8155,POINT (144.965347 -37.81550885)
2019,224,103156,103156,,78-80 Elgin Street CARLTON 3053,Carlton,1883.0,,2.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.972,-37.7974,POINT (144.9720326 -37.79741702)
2019,208,557728,557728,,27-29 Keppel Street CARLTON 3053,Carlton,1901.0,,2.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9667,-37.7964,POINT (144.9667325 -37.79642445)
2019,54,108107,108107,CPA House,166-172 Queen Street MELBOURNE 3000,Melbourne (CBD),1955.0,2000.0,9.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.9608,-37.8145,POINT (144.9607562 -37.81446648)
2019,202,105285,105285,,79 Keppel Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9655,-37.795,POINT (144.9655398 -37.79496858)
2019,606,104238,104238,St.George Gate,49 George Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9886,-37.8158,POINT (144.9885988 -37.81582627)
2019,222,103735,103735,,92 Faraday Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9714,-37.7989,POINT (144.9714422 -37.79889714)
2019,246,100575,100575,,16-18 Argyle Place North CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9661,-37.8018,POINT (144.9660501 -37.80178146)
2019,66,105886,105886,,200-202 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1861.0,,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9666,-37.812,POINT (144.966602 -37.81198479)
2019,307,101751,101751,Stirling,7-9 Carroll Street NORTH MELBOURNE 3051,North Melbourne,1910.0,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9455,-37.7958,POINT (144.9454698 -37.79584192)
