Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,259,107545,107545,,205-223 Pelham Street CARLTON 3053,Carlton,1930.0,,12.0,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.959,-37.8023,POINT (144.9589841 -37.80225591)
2019,301,105972,105972,,1 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9429,-37.7916,POINT (144.9429093 -37.79156488)
2019,2392,617307,617307,,60-74 Canning Street NORTH MELBOURNE 3051,North Melbourne,,,3.0,House/Townhouse,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,,144.9413,-37.7955,POINT (144.9413187 -37.79548898)
2019,240,100837,100837,Building 394,139 Barry Street CARLTON 3053,Carlton,1900.0,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9594,-37.8007,POINT (144.9594026 -37.80070554)
2019,248,108162,108162,,233 Rathdowne Street CARLTON 3053,Carlton,1870.0,,2.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9693,-37.8016,POINT (144.9693482 -37.8016403)
2019,617,104968,104968,Watlington,185-189 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9839,-37.8143,POINT (144.9838736 -37.8143058)
2019,216,103100,103100,,159A Elgin Street CARLTON 3053,Carlton,1900.0,,1.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9695,-37.7978,POINT (144.9695086 -37.7978106)
2019,74,103203,103203,,299 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1860.0,,3.0,Unoccupied - Unused,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.9616,-37.8117,POINT (144.9616458 -37.81165183)
2019,306,557261,557261,,16 Melrose Street NORTH MELBOURNE 3051,North Melbourne,2000.0,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9421,-37.795,POINT (144.9420778 -37.79502935)
2019,218,104477,104477,,48-50 Grattan Street CARLTON 3053,Carlton,1870.0,,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9679,-37.8006,POINT (144.96788 -37.80059708)
2019,231,111271,111271,,53 Station Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9739,-37.7963,POINT (144.9739178 -37.7962737)
2019,85,106008,106008,Central Melbourne Apartments,273-275 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1910.0,1994.0,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9638,-37.8109,POINT (144.9638155 -37.81086553)
2019,234,100804,100804,,62-66 Barkly Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9731,-37.7987,POINT (144.9730966 -37.79872391)
2019,601,109605,109605,,570-574 Victoria Parade EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9904,-37.8103,POINT (144.9904095 -37.81025506)
2019,621,100356,100356,,346-362 Albert Street EAST MELBOURNE 3002,East Melbourne,,,3.0,Public Display Area,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.9795,-37.8096,POINT (144.9794575 -37.80959784)
2019,604,108780,108780,,100-102 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9887,-37.8139,POINT (144.9886712 -37.81393268)
2019,54,104653,104653,,21-25 Hardware Lane MELBOURNE 3000,Melbourne (CBD),1920.0,,3.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,3.0,,144.9613,-37.8141,POINT (144.9613141 -37.81409145)
2019,210,106168,106168,,443-457 Lygon Street CARLTON 3053,Carlton,1978.0,,5.0,Residential Apartment,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,,144.9673,-37.794000000000004,POINT (144.967346 -37.79397829)
2019,66,108552,108552,,221-223 Russell Street MELBOURNE 3000,Melbourne (CBD),1882.0,1995.0,1.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9672,-37.8114,POINT (144.9671663 -37.81140837)
2019,34,102134,102134,,352-358 Collins Street MELBOURNE 3000,Melbourne (CBD),1973.0,1990.0,17.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9626,-37.8163,POINT (144.9625925 -37.81629075)
2019,222,103719,103719,,130 Faraday Street CARLTON 3053,Carlton,1883.0,2003.0,2.0,Retail - Showroom,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9705,-37.7988,POINT (144.970478 -37.79879584)
2019,610,107658,107658,,140 Powlett Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9863,-37.8123,POINT (144.9863263 -37.81226494)
2019,229,101481,101481,,142-144 Canning Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9737,-37.7951,POINT (144.9736564 -37.79506644)
2019,252,510299,102634,,8 Youngs Place CARLTON 3053,Carlton,,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,,,144.9674,-37.8041,POINT (144.9674065 -37.8040554)
2019,84,104554,104554,,5-13 Guildford Lane MELBOURNE 3000,Melbourne (CBD),1910.0,2000.0,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9605,-37.8113,POINT (144.9605117 -37.81126988)
2019,228,107719,107719,,109-111 Princes Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.972,-37.7929,POINT (144.9720294 -37.79289805)
2019,235,106933,106933,,69 Nicholson Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9743,-37.7992,POINT (144.9743236 -37.79922171)
2019,260,108022,108022,,278-284 Queensberry Street MELBOURNE 3000,Carlton,1912.0,,2.0,Storage,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9592,-37.8039,POINT (144.9591611 -37.80386698)
2019,235,103755,103755,,12-14 Faraday Street CARLTON 3053,Carlton,,2011.0,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9741,-37.7992,POINT (144.974065 -37.79921208)
2019,202,109331,109331,Fleming House,932-944 Swanston Street CARLTON 3053,Carlton,1910.0,2016.0,3.0,Student Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.9653,-37.7946,POINT (144.9652988 -37.79457313)
2019,1108,573414,573414,National@Docklands,788-812 Bourke Street DOCKLANDS 3008,Docklands,2004.0,,9.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,230.0,True,144.9451,-37.8189,POINT (144.9450783 -37.81885013)
2019,55,109284,109284,Hotel Swanston,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),1989.0,2000.0,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.965,-37.8131,POINT (144.9650108 -37.81309929)
2019,2389,624248,624248,,6 Smyth Mews NORTH MELBOURNE 3051,North Melbourne,2010.0,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9413,-37.7928,POINT (144.9412985 -37.79280755)
2019,773,668840,668840,,94-106 South Wharf Drive DOCKLANDS 3008,Docklands,2018.0,,1.0,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,,,
2019,202,107147,107147,,24-26 Palmerston Place CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9654,-37.7956,POINT (144.9654281 -37.79556421)
2019,246,515606,515606,,10-14 Grattan Place CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9659,-37.8016,POINT (144.9658635 -37.8015987)
2019,206,106132,106132,,263 Lygon Street CARLTON 3053,Carlton,1870.0,,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9669,-37.7993,POINT (144.9668688 -37.7992972)
2019,219,102733,102733,,258 Drummond Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9689,-37.8,POINT (144.9688936 -37.79999741)
2019,268,109856,109856,,24-30 Victoria Street CARLTON 3053,Carlton,1980.0,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,,144.968,-37.8069,POINT (144.9679733 -37.80688311)
2019,218,106209,106209,,320 Lygon Street CARLTON 3053,Carlton,1878.0,1960.0,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9675,-37.7995,POINT (144.9674979 -37.79953962)
2019,301,576084,576084,,33 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,2002.0,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9435,-37.7918,POINT (144.9435443 -37.79179667)
2019,224,101416,101416,,57-65 Palmerston Street CARLTON 3053,Carlton,1871.0,,2.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9728,-37.7967,POINT (144.9727791 -37.7967124)
2019,203,103048,103048,,1 Elgin Place CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9652,-37.7965,POINT (144.9651863 -37.79651221)
2019,202,109336,109336,,914 Swanston Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9652,-37.795,POINT (144.9652361 -37.79502564)
2019,242,101257,101257,,243-245 Bouverie Street CARLTON 3053,Carlton,1935.0,2005.0,2.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9621,-37.8008,POINT (144.9621326 -37.80076051)
2019,773,637394,637394,,64 South Wharf Drive DOCKLANDS 3008,Docklands,2012.0,,3.0,House/Townhouse,Not determined or not applicable,Access has not been rated,0.0,0.0,,144.9372,-37.8222,POINT (144.9371942 -37.82217545)
2019,305,103555,103555,,86-88 Erskine Street NORTH MELBOURNE 3051,North Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9424,-37.7941,POINT (144.9424494 -37.79413046)
2019,266,109851,109851,,74 Victoria Street CARLTON 3053,Carlton,1972.0,,3.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9654,-37.8067,POINT (144.9653524 -37.80670077)
2019,261,103291,103291,,518 Elizabeth Street MELBOURNE 3000,Carlton,1889.0,,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9598,-37.8059,POINT (144.9597735 -37.80592784)
2019,219,109572,109572,,14-28 University Street CARLTON 3053,Carlton,2014.0,,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9693,-37.7994,POINT (144.9693014 -37.79941827)
2019,64,104660,104660,,75-77 Hardware Lane MELBOURNE 3000,Melbourne (CBD),1889.0,1997.0,4.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9609,-37.8131,POINT (144.9608667 -37.81314339)
2019,252,111060,106250,124 Lygon Street,124 Lygon Street CARLTON 3053,Carlton,1890.0,,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9667,-37.8044,POINT (144.9667019 -37.80443771)
2019,44,597186,101146,Galleria,385 Bourke Street MELBOURNE 3000,Melbourne (CBD),1983.0,2005.0,4.0,Parking - Commercial Covered,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,100.0,True,144.9629,-37.8149,POINT (144.9629215 -37.81492946)
2019,773,627707,627707,,51 South Wharf Drive DOCKLANDS 3008,Docklands,2011.0,,3.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9375,-37.8226,POINT (144.937529 -37.82259428)
2019,301,567219,567219,,27 Little Curran Street NORTH MELBOURNE 3051,North Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9434,-37.7918,POINT (144.9433779 -37.79175578)
2019,266,101704,101704,"Marys Terrace - Building 43, 74 & 76",52-56 Cardigan Street CARLTON 3053,Carlton,1885.0,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.9649,-37.8055,POINT (144.9649036 -37.80551489)
2019,306,108690,108690,,11-13 Shands Lane NORTH MELBOURNE 3051,North Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9436,-37.7956,POINT (144.9435971 -37.79557738)
2019,207,101668,101668,,312 Cardigan Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9663,-37.7976,POINT (144.9662798 -37.79757515)
2019,656,107136,107136,,7 Palmer Street EAST MELBOURNE 3002,East Melbourne,1890.0,,3.0,House/Townhouse,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.9809,-37.8178,POINT (144.9808871 -37.81779905)
2019,221,101401,101401,,15 Canning Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9721,-37.8004,POINT (144.9720773 -37.8003692)
2019,66,101785,101785,,16 Celestial Avenue MELBOURNE 3000,Melbourne (CBD),1895.0,1992.0,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,0.0,False,144.9664,-37.8118,POINT (144.9663717 -37.81181058)
2019,1108,678343,678343,,83-0 Geographe Street DOCKLANDS 3008,Docklands,2017.0,,4.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9452,-37.82,POINT (144.9452428 -37.8200147)
2019,250,554855,108266,Royal Exhibition Building,9 Nicholson Street CARLTON 3053,Carlton,1880.0,,2.0,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,30.0,True,144.9716,-37.804,POINT (144.9716317 -37.80395736)
2019,2389,624201,624201,,25 Wilson Mews NORTH MELBOURNE 3051,North Melbourne,2010.0,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9407,-37.7935,POINT (144.9407076 -37.79345931)
2019,773,637416,637416,,26 South Wharf Drive DOCKLANDS 3008,Docklands,2012.0,,3.0,House/Townhouse,Not determined or not applicable,Access has not been rated,0.0,0.0,,144.9398,-37.8228,POINT (144.9397931 -37.82276536)
2019,223,106285,106285,,16 MacArthur Place North CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9722,-37.7981,POINT (144.972212 -37.79807505)
2019,212,106174,102697,,480 Lygon Street CARLTON 3053,Carlton,,,21.0,Residential Apartment,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.9692,-37.7948,POINT (144.9692079 -37.79476837)
2019,54,108105,108105,Nicholas O Donhue & Co Building,178-182 Queen Street MELBOURNE 3000,Melbourne (CBD),1960.0,2004.0,5.0,Office,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.9608,-37.8142,POINT (144.960766 -37.81418565)
2019,54,631820,631820,,3 Kirks Lane MELBOURNE 3000,Melbourne (CBD),1901.0,,3.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9612,-37.8144,POINT (144.9612398 -37.81442951)
2019,1012,100554,100554,,205-213 Arden Street NORTH MELBOURNE 3051,North Melbourne,1970.0,,2.0,Manufacturing,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9406,-37.8004,POINT (144.9405892 -37.80037265)
2019,216,102722,102722,,314-318 Drummond Street CARLTON 3053,Carlton,1890.0,1990.0,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9691,-37.7984,POINT (144.9691179 -37.79843827)
2019,615,104528,104528,,119 Grey Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9854,-37.8121,POINT (144.9854048 -37.81206981)
2019,1109,560004,560004,,24-42 Newquay Promenade DOCKLANDS 3008,Docklands,2002.0,,4.0,Parking - Private Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9422,-37.8144,POINT (144.9421716 -37.81436322)
2019,235,569294,569294,,63 Barkly Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9734,-37.7991,POINT (144.9734488 -37.79908979)
2019,255,101603,101603,,117 Cardigan Street CARLTON 3053,Carlton,1930.0,1998.0,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9645,-37.8039,POINT (144.9645353 -37.80386399)
2019,203,532602,532602,,838 Swanston Street CARLTON 3053,Carlton,,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9649,-37.7966,POINT (144.9649193 -37.79657244)
2019,74,108103,108103,Cecil House,244-250 Queen Street MELBOURNE 3000,Melbourne (CBD),1990.0,1996.0,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96,-37.8127,POINT (144.959964 -37.81269006)
2019,1105,588061,588061,V1 Village Docklands,8-18 McCrae Street DOCKLANDS 3008,Docklands,2005.0,,22.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9508,-37.8215,POINT (144.9507623 -37.82150808)
2019,304,100084,100084,,515-517 Abbotsford Street NORTH MELBOURNE 3051,North Melbourne,1910.0,,1.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9468,-37.7942,POINT (144.9467527 -37.79420291)
2019,14,108116,108116,Alkira House,18 Queen Street MELBOURNE 3000,Melbourne (CBD),1937.0,1991.0,10.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9626,-37.8183,POINT (144.9625773 -37.81829599)
2019,226,105171,105171,,65 Kay Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9727,-37.7954,POINT (144.9726903 -37.79538684)
2019,229,109071,109071,Station Mews,107-121 Station Street CARLTON 3053,Carlton,1910.0,1986.0,2.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9742,-37.7946,POINT (144.9741696 -37.79461753)
2019,267,102624,102624,Albert House,57-65 Drummond Street CARLTON 3053,Carlton,1981.0,,3.0,Student Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9673,-37.8054,POINT (144.9673129 -37.80540788)
2019,207,106154,106154,,337-343 Lygon Street CARLTON 3053,Carlton,1870.0,,2.0,Entertainment/Recreation - Indoor,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,,144.9672,-37.7973,POINT (144.9672262 -37.79734792)
2019,223,106273,106273,,60-62 MacArthur Place North CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9711,-37.798,POINT (144.9711228 -37.79795076)
2019,246,100573,100573,,22 Argyle Place North CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9659,-37.8018,POINT (144.9659012 -37.80176897)
2019,602,108778,108778,,132-134 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.989,-37.8118,POINT (144.9890409 -37.81175611)
2019,2384,616740,616740,,183 Melrose Street NORTH MELBOURNE 3051,North Melbourne,1900.0,,1.0,House/Townhouse,,,,,,144.9425,-37.7906,POINT (144.9425289 -37.79055955)
2019,261,103281,103281,,576-578 Elizabeth Street MELBOURNE 3000,Carlton,1900.0,,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9594,-37.8048,POINT (144.9594083 -37.80476254)
2019,232,531458,531458,,80 Station Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Access has not been rated,0.0,,,144.9745,-37.7958,POINT (144.974544 -37.79575696)
2019,234,505089,505089,,52-54 Canning Street CARLTON 3053,Carlton,1990.0,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9731,-37.7982,POINT (144.9731284 -37.79819672)
2019,230,109101,109101,,170 Station Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.975,-37.7934,POINT (144.9749635 -37.79340676)
2019,14,103947,103947,The Sebel Melbourne,317-323 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1923.0,1995.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9638,-37.8177,POINT (144.9637545 -37.81773694)
2019,230,106965,106965,,225 Nicholson Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9751,-37.7947,POINT (144.9750858 -37.79469222)
2019,201,667317,105288,,467 Cardigan Street CARLTON 3053,Carlton,2015.0,,1.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,,,144.9659,-37.7943,POINT (144.9659432 -37.7943014)
2019,214,102694,102694,,393 Drummond Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9689,-37.7964,POINT (144.9689076 -37.79643619)
2019,261,103286,103286,,544-548 Elizabeth Street MELBOURNE 3000,Carlton,1909.0,,1.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9596,-37.8053,POINT (144.959649 -37.80528195)
2019,210,106157,106157,,379 Lygon Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9675,-37.7957,POINT (144.967517 -37.79569848)
2019,65,109297,109297,,265-267 Swanston Street MELBOURNE 3000,Melbourne (CBD),,1997.0,1.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9646,-37.812,POINT (144.9646037 -37.81201029)
2019,612,109633,109633,,486-488 Victoria Parade EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9877,-37.81,POINT (144.98767 -37.81003644)
2019,236,106926,106926,,53 Nicholson Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9742,-37.7998,POINT (144.9742493 -37.79979445)
2019,220,600018,600018,,12 Silver Top Terrace CARLTON 3053,Carlton,2006.0,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.971,-37.7995,POINT (144.9710041 -37.79951601)
2019,604,104312,104312,,49 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9891,-37.8137,POINT (144.989051 -37.81365153)
2019,772,110528,110528,Hallmarc Business Park,69-79 Lorimer Street DOCKLANDS 3008,Docklands,2008.0,,2.0,Office,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,,144.9427,-37.825,POINT (144.9427044 -37.82495447)
2019,238,107127,107127,,37 Owen Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9731,-37.8007,POINT (144.9731427 -37.80071522)
2019,264,661676,644815,Maltstore Building,551 Swanston Street CARLTON 3053,Carlton,2016.0,,4.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9625,-37.8057,POINT (144.9625206 -37.80570233)
2019,234,101506,101506,,38 Canning Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.97299999999998,-37.7986,POINT (144.9729956 -37.79859704)
2019,224,107173,107173,,119-121 Palmerston Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9711,-37.7967,POINT (144.9710995 -37.79671678)
2019,651,111469,111469,Park Hyatt Melbourne,33-61 Cathedral Place EAST MELBOURNE 3002,East Melbourne,1999.0,,14.0,Parking - Private Covered,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,30.0,True,144.9765,-37.8113,POINT (144.9765098 -37.81131171)
2019,607,104245,104245,Mozart,105 George Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9868,-37.8157,POINT (144.9868327 -37.81573699)
2019,56,108545,108545,,191-193 Russell Street MELBOURNE 3000,Melbourne (CBD),1890.0,2013.0,3.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9674,-37.8121,POINT (144.9674399 -37.81207059)
2019,306,103544,103544,,41-43 Erskine Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9434,-37.795,POINT (144.9434073 -37.7950377)
2019,206,104471,104471,,90 Grattan Street CARLTON 3053,Carlton,1901.0,,2.0,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.9664,-37.8004,POINT (144.9664045 -37.80043353)
2019,226,108228,108228,,180 Rathdowne Street CARLTON 3053,Carlton,1890.0,,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9712,-37.7951,POINT (144.9711906 -37.79514438)
2019,221,100745,100745,,81-85 Barkly Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9723,-37.7997,POINT (144.9723009 -37.79969501)
